City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tandur,17.2333,77.5833,302.2,66,99,4.17,IN,1688557785
83,touros,-5.1989,-35.4608,300.07,73,76,8.58,BR,1688557427
84,vorgashor,67.5833,63.95,290.67,56,97,7.64,RU,1688557480
85,puerto natales,-51.7236,-72.4875,272.22,92,88,1.38,CL,1688557486
86,eureka,40.8021,-124.1637,285.49,96,33,0.45,US,1688558048
87,derzhavinsk,51.1,66.3167,300.45,43,37,7.72,KZ,1688558048
88,ilulissat,69.2167,-51.1,280.16,81,75,2.06,GL,1688557531
89,luderitz,-26.6481,15.1594,296.27,42,1,3.03,NA,1688557810
90,soma,39.1855,27.6094,308.06,37,0,4.92,TR,1688558049
91,nikolayevsk-on-amure,53.1406,140.73,284.92,93,83,1.76,RU,1688558049
92,chibougamau,49.9168,-74.3659,293.94,83,0,1.93,CA,1688557514
93,kodiak,57.79,-152.4072,281.88,93,100,7.2,US,1688557602
94,sechura,-5.5569,-80.8222,294.22,87,20,4.59,PE,1688558050
95,iskateley,67.6803,53.1512,294.16,45,78,7.14,RU,1688557528
96,laredo,27.5064,-99.5075,300.31,78,20,4.63,US,1688558051
97,tadmur,34.5608,38.2805,312.44,13,0,6.5,SY,1688558051
98,tura,25.5198,90.2201,300.28,89,94,1.56,IN,1688557542
99,greater sudbury,46.49,-80.99,293.74,89,46,2.2,CA,1688558052
100,manaure,11.7751,-72.4445,300.94,78,63,5.47,CO,1688558052
101,lihue,21.9789,-159.3672,298.92,81,100,7.72,US,1688557513
102,tshikapa,-6.4167,20.8,308.55,19,0,2.2,CD,1688557762
103,bonanza,14.0289,-84.591,295.21,99,87,0.92,NI,1688558053
104,hermanus,-34.4187,19.2345,288.6,60,78,6.18,ZA,1688557482
105,hastings,50.8552,0.5729,293.03,23,23,9.0,GB,1688558054
106,tsiombe,-25.3,45.4833,300.12,35,0,3.97,MG,1688557492
107,east london,-33.0153,27.9116,290.67,45,20,9.77,ZA,1688557429
108,utrik,11.2278,169.8474,301.38,78,77,9.77,MH,1688557583
109,natal,-5.795,-35.2094,298.51,83,40,6.17,BR,1688557407
110,ma'rib,15.4591,45.3253,312.62,8,52,7.16,YE,1688558055
111,punta arenas,-53.15,-70.9167,272.21,86,75,3.09,CL,1688557409
112,port alfred,-33.5906,26.891,289.92,56,35,4.92,ZA,1688557519
113,la sarre,48.8002,-79.1996,294.43,78,69,2.28,CA,1688557646
114,garrucha,37.1874,-1.8349,301.28,69,14,4.23,ES,1688558056
115,zhuanghe,39.7008,122.9911,295.47,77,0,2.57,CN,1688558056
116,aksu,41.1231,80.2644,302.16,25,98,9.38,CN,1688558033
117,eichendorf,48.6333,12.85,299.91,57,76,6.45,DE,1688558057
118,tsaratanana,-16.7833,47.65,300.6,43,16,4.99,MG,1688557846
119,bikenibeu village,1.3673,173.1241,302.13,84,40,4.63,KI,1688557524
120,pangkalpinang,-2.1333,106.1333,299.48,83,58,1.34,ID,1688558057
121,kirakira,-10.4544,161.9205,299.2,85,100,5.34,SB,1688558058
122,pisco,-13.7,-76.2167,289.18,82,20,2.06,PE,1688557629
123,mossel bay,-34.1831,22.146,288.11,58,83,2.04,ZA,1688558058
124,vadso,70.0744,29.7487,283.24,93,75,3.09,NO,1688557539
125,fasa,28.9383,53.6482,315.73,7,20,2.06,IR,1688557512
126,jayapura,-2.5333,140.7,296.81,96,100,3.58,ID,1688557920
127,haiku-pauwela,20.9219,-156.3051,297.06,76,0,5.14,US,1688557632
128,inirida,3.8653,-67.9239,297.28,92,93,0.71,CO,1688557612
129,papao,-17.75,-149.55,296.97,70,41,8.77,PF,1688558060
130,bonito,-21.1211,-56.4819,291.92,57,0,1.36,BR,1688558010
131,borzya,50.3833,116.5167,288.57,88,100,4.07,RU,1688557859
132,bethel,41.3712,-73.414,295.79,85,0,0.0,US,1688557501
133,manado,1.487,124.8455,298.58,100,40,1.03,ID,1688557780
134,coquimbo,-29.9533,-71.3436,285.68,78,1,1.61,CL,1688557763
135,hithadhoo,-0.6,73.0833,301.86,74,100,5.0,MV,1688557538
136,lebu,-37.6167,-73.65,281.93,83,100,3.97,CL,1688557490
